	 1                	 -nan             	 -nan             	 0.07085642585134481	 -nan             	 -nan             	 0.9999999993850659	 -nan             	 -nan             	 0.07085642520423303	 -nan             	 -nan             	 0.9999999974279716	 -nan             	 -nan             	 0.07085642468608133	 -nan             	 -nan             	 0.9999999932617172	 -nan             	 -nan             	 0.07085642435758718	 -nan             	 -nan             	 0.9999999882009233	 -nan             	 -nan             	 0.07085642400682467	 -nan             	 -nan             	 -0.999999987780702	 -nan             	 -nan             	 -0.07085642938146598	 -nan             	 -nan             	 -3.135830073334795e-05	 3.241804252777709e-05	 4.234489541664246e-05	 -4.146016892001654e-05	 4.549097161146441e-05	 -3.554422225639922e-05	 1.694179996310094e-05	 -5.007405188470256e-05	 2.12405805703368e-05	 3.589906953554867e-06	 -8.83186147347038e-06	 5.405788659516155e-06	 1.3604602621081e-05	 -1.878415875355438e-05	 -3.753590186524297e-05	 -2.895577440559751e-05	 6.736329939812349e-06
	 -0.04131138015119396	 -nan             	 -nan             	 0.9999999981622522	 -nan             	 -nan             	 -0.04131138178707071	 -nan             	 -nan             	 0.9999999987394843	 -nan             	 -nan             	 -0.04131138355256529	 -nan             	 -nan             	 0.9999999994245165	 -nan             	 -nan             	 -0.04131138530545468	 -nan             	 -nan             	 1                	 -nan             	 -nan             	 -0.04131138574808317	 -nan             	 -nan             	 0.9999999992410059	 -nan             	 -nan             	 0.04131137429519827	 -nan             	 -nan             	 -0.9999999967605282	 -nan             	 -nan             	 -1.519960363831608e-05	 1.683591454861499e-05	 1.346196516562402e-05	 6.416507103897369e-06	 -2.486504268593546e-07	 1.100458123339817e-05	 6.275325501830421e-06	 1.23390265082219e-05	 7.837244198093554e-07	 -1.982405354616365e-05	 -1.567516663539705e-05	 -2.352661243250297e-05	 -1.975248170229857e-05	 3.480354162482418e-05	 2.595606689522423e-05	 -1.512484751763067e-05	 -3.007049322976388e-05
	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             
	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             
	 0.999999986171516	 -nan             	 -nan             	 0.07085642602755549	 -nan             	 -nan             	 0.9999999905665479	 -nan             	 -nan             	 0.07085642474500248	 -nan             	 -nan             	 0.9999999951301145	 -nan             	 -nan             	 0.0708564223666231	 -nan             	 -nan             	 0.9999999982742555	 -nan             	 -nan             	 0.0708564186552183	 -nan             	 -nan             	 1                	 -nan             	 -nan             	 0.07085641341011843	 -nan             	 -nan             	 -0.9999999852632971	 -nan             	 -nan             	 -0.0708564274108883	 -nan             	 -nan             	 8.024528092286074e-05	 -8.393909721441444e-05	 -5.009111335403394e-05	 2.718506364162129e-05	 -2.136128597998369e-05	 -1.457907131906743e-05	 -3.697826830455385e-05	 -6.363326207014716e-06	 -1.793584822301555e-06	 5.272061215245991e-05	 5.314667298428219e-05	 5.76652561481605e-05	 4.786977600027527e-05	 -7.54861549547239e-05	 -4.885173101119468e-05	 6.520976561868675e-05	 7.57945343849357e-05
	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             
	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             
	 -0.04131138008731635	 -nan             	 -nan             	 0.9999999959706232	 -nan             	 -nan             	 -0.04131138242938418	 -nan             	 -nan             	 0.999999996756287	 -nan             	 -nan             	 -0.04131138525878118	 -nan             	 -nan             	 0.9999999979027787	 -nan             	 -nan             	 -0.04131138806467442	 -nan             	 -nan             	 0.9999999991601706	 -nan             	 -nan             	 -0.04131139057595427	 -nan             	 -nan             	 1                	 -nan             	 -nan             	 0.04131137389673971	 -nan             	 -nan             	 -0.9999999944029611	 -nan             	 -nan             	 -4.004087341232658e-05	 4.226690809146428e-05	 2.522578730542881e-05	 -5.041915365988404e-06	 5.287477879483189e-06	 1.59790097392247e-05	 1.823171605676446e-05	 1.402278196598495e-05	 9.491590118943489e-07	 -3.446789833279815e-05	 -3.05119932213559e-05	 -3.843650161902187e-05	 -3.148712471944554e-05	 5.252780984518288e-05	 3.824622526292083e-05	 -3.23674174759791e-05	 -4.962835767650722e-05
	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             
	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             	 -nan             
	 -0.9999999869610015	 -nan             	 -nan             	 -0.07085642814860754	 -nan             	 -nan             	 -0.9999999882971266	 -nan             	 -nan             	 -0.07085642858848941	 -nan             	 -nan             	 -0.9999999891695933	 -nan             	 -nan             	 -0.07085642885370411	 -nan             	 -nan             	 -0.9999999885669607	 -nan             	 -nan             	 -0.070856428853451	 -nan             	 -nan             	 -0.9999999864743315	 -nan             	 -nan             	 -0.07085642883448708	 -nan             	 -nan             	 1                	 -nan             	 -nan             	 0.0708564260907226	 -nan             	 -nan             	 -2.273645341622496e-05	 2.415976979595035e-05	 3.391081741416804e-05	 -2.253885639205131e-05	 3.682729695619792e-05	 -3.527479516031823e-05	 9.177589093940829e-06	 -4.25497285305171e-05	 1.171720886520722e-05	 9.369876066651201e-06	 -6.121702463291032e-06	 6.644248789509735e-06	 3.131005298513078e-06	 -2.035090571194047e-05	 -3.454755215007805e-05	 -2.012301919153223e-05	 9.495438385404431e-06
